"major1","Gender","GPA.Range","year.x","survey_city","survey_company","survey_deptfunc","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state","latitude","longitude","survey_company_cluster_name"
"Supply Chain & Operations Mgmt","Female","3.00 - 3.49","2020","kansascity","the david j. joseph company","Logistics / Supply Chain Operations / Procurement","3","accepted fulltime job","Yes","Yes",55000,"Missouri","13.2335558","-85.7277605","the home depot"
"Supply Chain & Operations Mgmt","Male","3.50 - 4.00","2020","naperville","cardinal health","Logistics / Supply Chain Operations / Procurement","1","accepted fulltime job","Yes","Yes",59000,"Illinois","41.7728699","-88.1479278","cardinal health"
"Finance","Male","3.00 - 3.49","2019","cleveland","key bank",NA,NA,"accepted fulltime job","Yes",NA,55000,"Ohio","41.4996562","-81.6936813","key bank"
"Accountancy","Male","3.00 - 3.49","2019","cleveland","pwc","Accounting
 Advertising / Public Relations","1","accepted fulltime job","Yes","Yes",54500,NA,"41.4996562","-81.6936813","pwc"
"Finance","Female","3.00 - 3.49","2019","chicago","crowe","Finance","1","accepted fulltime job","Yes","Yes",68000,"Illinois","41.8755616","-87.6244212","crowe"
"Marketing","Female","3.00 - 3.49","2019","newyorkcity","shaw industries","Marketing / Sales","2","accepted fulltime job","No","Yes",65000,NA,"34.6732303","-1.9146444","shaw industries"
"Finance","Female","3.50 - 4.00","2019","chicago","the mather group",NA,NA,"accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","the home depot"
"Information Systems","Male","3.00 - 3.49","2020","providence","textron","Finance Information Technology","3","accepted fulltime job","Yes","Yes",68000,"Rhode Island","41.8239891","-71.4128343","textron specialized vehicles"
"Marketing","Female","2.50 - 2.99","2020","chicago","cdw","Marketing / Sales","2","accepted fulltime job","Yes","Yes",32000,"Illinois","41.8755616","-87.6244212","cdw"
"Accountancy","Male","2.50 - 2.99","2021","akron","cohen and company","Accounting","1","accepted fulltime job","Yes","Yes",53000,"Ohio","41.083064","-81.518485","cohen and company"
"Finance","Male","3.00 - 3.49","2021","chicago","crowe llp","Consulting Finance Operations / Procurement","1","accepted fulltime job","Yes","Yes",70000,"Illinois","41.8755616","-87.6244212","crowe"
"Marketing","Female","3.00 - 3.49","2019",NA,"e&j gallo","Marketing/Sales","2","accepted fulltime job","Yes","Yes",63000,"Connecticut",NA,NA,"e&j gallo winery"
"Finance","Male","3.00 - 3.49","2019","columbus","dhl supply chain",NA,"1","accepted fulltime job","Yes",NA,56000,"Ohio","39.9622601","-83.0007065","dhl"
"Finance","Female","3.50 - 4.00","2019","cincinnati","ey","Consulting
 IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",55000,NA,"39.1014537","-84.5124602","ey"
"Finance","Male","3.50 - 4.00","2019","marysville","honda r&d americas, inc.",NA,NA,"accepted fulltime job",NA,NA,54900,"Ohio","48.0517429","-122.1768209","honda of america manufacturing"
"Finance","Male","3.00 - 3.49","2019","hamilton","u.s. bank",NA,"2","accepted fulltime job","Yes",NA,55000,"Ohio","43.2560802","-79.8728583","u.s. navy"
"Accountancy","Female","3.50 - 4.00","2020","toledo","pwc","Accounting","1","accepted fulltime job","Yes","Yes",55000,"Ohio","39.8560679","-4.0239568","pwc"
"Marketing","Female","3.00 - 3.49","2020","denver","oracle netsuite","Marketing / Sales","2","accepted fulltime job","Yes","Yes",50000,"Colorado","39.7392364","-104.9848623","oracle netsuite"
"Marketing","Male","2.50 - 2.99","2019",NA,"coyote logistics","Marketing/Sales","2","accepted fulltime job","Yes","Yes",45000,NA,NA,NA,"coyote logistics"
"Accountancy","Male","2.50 - 2.99","2021",NA,"prolink staffing",NA,"0","accepted fulltime job",NA,NA,NA,NA,NA,NA,"prolink staffing"
"Business Economics","Female","3.00 - 3.49","2021","chicago","west monroe partners","Consulting","1","accepted fulltime job","Yes","Yes",70000,"Illinois","41.8755616","-87.6244212","west monroe partners"
"Marketing","Female","3.50 - 4.00","2021","chicago","cdw","Marketing / Sales","2","accepted fulltime job","Yes","Yes",30000,"Illinois","41.8755616","-87.6244212","cdw"
"Finance","Male","3.00 - 3.49","2019","cincinnati","ultimus funds","Accounting","2","accepted fulltime job","Yes","Yes",45000,"Ohio","39.1014537","-84.5124602","ultimus funds"
"Marketing","Female","3.00 - 3.49","2021","newyorkcity","curaleaf",NA,"1","accepted fulltime job",NA,"Yes",NA,NA,"34.6732303","-1.9146444","curaleaf"
"Supply Chain & Operations Mgmt","Female","3.00 - 3.49","2019","dayton","dhl supply chain","Analytics
 Logistics / Supply Chain","3","accepted fulltime job","Yes","No",52500,NA,"39.7589478","-84.1916069","dhl"
"Finance","Male","3.00 - 3.49","2021","marietta","peoples bank","Finance","3","accepted fulltime job","Yes","No",50000,"Ohio","33.9528472","-84.5496148","peoples bank"
"Finance","Male","3.00 - 3.49","2019","portland","foreside","Operations / Procurement","2","accepted fulltime job","Yes","Yes",40000,NA,"45.5202471","-122.6741949","freddie mac"
"Accountancy","Male","3.50 - 4.00","2019","cincinnati","ey","Accounting","1","accepted fulltime job","Yes","Yes",51000,"Ohio","39.1014537","-84.5124602","ey"
"Finance","Male","3.50 - 4.00","2019","cleveland","keybanc capital markets",NA,"1","accepted fulltime job","Yes",NA,75000,"Ohio","41.4996562","-81.6936813","keybanc capital markets"
"Information Systems","Male","2.50 - 2.99","2019","dublin","cardinal health","IT Assurance/IT Audit","2","accepted fulltime job","Yes","Yes",60000,"Ohio","53.3497645","-6.2602732","cardinal health"
"Business Economics","Male","2.50 - 2.99","2021","whippany","barclays","Operations / Procurement","1","accepted fulltime job","Yes","Yes",60000,"New Jersey","40.8245442","-74.4170972","barclays investment bank"
"Marketing","Male","3.00 - 3.49","2019","charlottesville","vivid cortex","Marketing / Sales","1","accepted fulltime job","No","Yes",40000,"Virginia","38.029306","-78.4766781","vivid resourcing"
"Finance","Male","3.00 - 3.49","2021","denver","standish management",NA,NA,"accepted fulltime job",NA,NA,55000,"Colorado","39.7392364","-104.9848623","stanwich advisors, llc"
"Accountancy","Female","3.50 - 4.00","2019","columbus","crowe","Accounting","2","accepted fulltime job","Yes","Yes",54500,NA,"39.9622601","-83.0007065","crowe"
"Finance","Male","3.50 - 4.00","2021","stlouis","pwc","Accounting Analytics IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",57000,"Missouri","35.9056067","14.425344","pwc"
"Information Systems","Male","3.50 - 4.00","2019","cleveland","deloitte","Consulting","1","accepted fulltime job","Yes","Yes",80000,"Ohio","41.4996562","-81.6936813","deloitte"
"Accountancy","Female","3.50 - 4.00","2021","redwoodcity","ey","Accounting","2","accepted fulltime job","Yes","No",70000,"California",NA,NA,"ey"
"Accountancy","Female","3.50 - 4.00","2021","washington","pwc","Accounting","1","accepted fulltime job","Yes","Yes",57000,NA,"38.8950368","-77.0365427","pwc"
"Finance","Female","3.50 - 4.00","2020","milwaukee","accenture","Consulting","3","accepted fulltime job","Yes","Yes",77000,"Wisconsin","43.0349931","-87.922497","accenture"
"Marketing","Male","2.00 - 2.49","2019","harrisburg","te connectivity",NA,NA,"accepted fulltime job",NA,NA,NA,"Pennsylvania","40.2663107","-76.8861122","tend"
"Accountancy","Female","3.00 - 3.49","2021","cincinnati","protiviti",NA,"1","accepted fulltime job","Yes","Yes",40144,"Ohio","39.1014537","-84.5124602","protiviti"
"Marketing","Female","3.00 - 3.49","2020","columbus","the hershey company","Marketing / Sales","2","accepted fulltime job","Yes","Yes",42000,"Ohio","39.9622601","-83.0007065","the home depot"
"Human Capital Mgmt& Leadership","Male","3.00 - 3.49","2021","detroit","rock family of companies",NA,"2","accepted fulltime job","Yes","Yes",44000,"Michigan","42.3315509","-83.0466403","rock well"
"Accountancy","Male","3.00 - 3.49","2020","chicago","crowe llp","Accounting","2","accepted fulltime job","Yes","Yes",63000,"Illinois","41.8755616","-87.6244212","crowe"
"Supply Chain & Operations Mgmt","Female","3.00 - 3.49","2020","charlotte","red ventures","Marketing / Sales","3","accepted fulltime job","No","Yes",65000,"North Carolina","35.2272086","-80.8430827","red ventures"
"Finance","Male","3.00 - 3.49","2021","columbus","j.p. morgan u.s. private bank",NA,"1","accepted fulltime job","Yes","Yes",55000,NA,"39.9622601","-83.0007065","j.p morgan"
"Marketing","Female","3.00 - 3.49","2019","washington","industry dive","Marketing / Sales","1","accepted fulltime job","Yes","Yes",40000,NA,"38.8950368","-77.0365427","industry dive"
"Marketing","Male","2.50 - 2.99","2019","chicago","coyote logistics","Marketing / Sales","1","accepted fulltime job","Yes","Yes",45000,"Illinois","41.8755616","-87.6244212","coyote logistics"
"Management and Leadership","Female","3.00 - 3.49","2019","cambridge","ibm","Marketing / Sales","1","accepted fulltime job","Yes","Yes",78000,NA,"52.2055314","0.1186637","ibm"
"Human Capital Mgmt& Leadership","Male","2.50 - 2.99","2020","chicago","jobplex, inc","Human Resources","3","accepted fulltime job","Yes","Yes",43500,"Illinois","41.8755616","-87.6244212","jobplex, inc"
"Finance","Female","3.00 - 3.49","2021","chicago","beam suntory",NA,NA,"accepted fulltime job",NA,NA,60000,"Illinois","41.8755616","-87.6244212","bam nutual"
"Marketing","Male","3.50 - 4.00","2020","columbus","abercrombie & fitch","Analytics","1","accepted fulltime job","Yes","Yes",60000,"Ohio","39.9622601","-83.0007065","abercrombie & fitch"
"Supply Chain & Operations Mgmt","Female","3.50 - 4.00","2020","boston","deloitte","Analytics Consulting Information Technology","2","accepted fulltime job","Yes","Yes",66000,"Massachusetts","42.3602534","-71.0582912","deloitte"
"Finance","Male","3.50 - 4.00","2020","pittsburgh","west monroe partners","Finance","1","accepted fulltime job","Yes","Yes",80000,"Pennsylvania","40.4416941","-79.9900861","west monroe partners"
"Management and Leadership","Female","3.00 - 3.49","2019","mthealthy","the hillman group","Human Resources","1","accepted fulltime job","Yes","Yes",45000,NA,NA,NA,"the home depot"
"Entrepreneurship","Female","3.50 - 4.00","2021","newyorkcity","superunion","Advertising / Public Relations Consulting Marketing / Sales","1","accepted fulltime job","Yes","Yes",60000,"New York","34.6732303","-1.9146444","superunion"
"Accountancy","Male","3.50 - 4.00","2019","columbus","kpmg","Accounting
 Other: Audit","1","accepted fulltime job","Yes","Yes",54000,"Ohio","39.9622601","-83.0007065","kpmg"
"Marketing","Female","3.50 - 4.00","2021","denver","oracle",NA,"3","accepted fulltime job","Yes","Yes",70000,"Colorado","39.7392364","-104.9848623","oracle netsuite"
"Marketing","Male","2.50 - 2.99","2020","irvine","exp realty",NA,NA,"accepted fulltime job",NA,NA,NA,"California","33.6856969","-117.8259819","express corporate"
"Supply Chain & Operations Mgmt","Male","2.50 - 2.99","2020","naperville","rsm","Other: Management Consulting","5","accepted fulltime job","Yes","Yes",82000,"Illinois","41.7728699","-88.1479278","rsm"
"Business Economics","Female","3.50 - 4.00","2020","cincinnati","nielsen","Analytics","1","accepted fulltime job","Yes","Yes",56000,"Ohio","39.1014537","-84.5124602","nielsen"
"Accountancy","Female","2.50 - 2.99","2020",NA,"nvr, inc",NA,NA,"accepted fulltime job",NA,NA,NA,NA,NA,NA,"nvr, inc"
"Finance","Male","3.00 - 3.49","2019","chicago","parking advisors","Consulting
 Finance","0","accepted fulltime job","Yes","Yes",53500,NA,"41.8755616","-87.6244212","parking advisors"
"Accountancy","Male","3.00 - 3.49","2020","mclean","pwc","Accounting","1","accepted fulltime job","Yes","Yes",60000,"Virginia","40.4631789","-88.8196613","pwc"
"Marketing","Male","2.50 - 2.99","2021","austin","arrive logistics","Logistics / Supply Chain Marketing / Sales","1","accepted fulltime job","Yes","Yes",40000,"Texas","30.2711286","-97.7436995","arrive logistics"
"Accountancy","Female","3.00 - 3.49","2019","chicago","andersen tax","Accounting","1","accepted fulltime job","Yes","Yes",67500,"Illinois","41.8755616","-87.6244212","andersen"
"Information Systems","Female","3.00 - 3.49","2019","chicago","protiviti","IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",67500,"Illinois","41.8755616","-87.6244212","protiviti"
"Marketing","Female","3.00 - 3.49","2019","cincinnati","the cincinnati insurance company","Marketing / Sales","1","accepted fulltime job","No","Yes",45000,NA,"39.1014537","-84.5124602","the home depot"
"Finance","Female","2.50 - 2.99","2021","cincinnati","procter & gamble","Finance","1","accepted fulltime job","Yes","Yes",70000,"Ohio","39.1014537","-84.5124602","procter & gamble"
"Human Capital Mgmt& Leadership","Female","3.00 - 3.49","2021","chicago","coyote logistics",NA,NA,"accepted fulltime job","Yes","Yes",62500,"Illinois","41.8755616","-87.6244212","coyote logistics"
"Business Economics","Male","3.50 - 4.00","2021","chicago","ankura consulting","Analytics Consulting","1","accepted fulltime job","Yes","Yes",70000,"Illinois","41.8755616","-87.6244212","ankura"
"Finance","Female","3.00 - 3.49","2020","louisville","uofl health",NA,"0","accepted fulltime job",NA,NA,NA,"Kentucky","38.2542376","-85.759407","uofl health"
"Marketing","Female","3.50 - 4.00","2019","dallas","gartner","Marketing / Sales","2","accepted fulltime job","Yes","Yes",40800,NA,"32.7762719","-96.7968559","partners capital"
"Management and Leadership","Female","3.00 - 3.49","2019","pittsburgh","pnc financial services","Other: Realty Services","1","accepted fulltime job","Yes","Yes",45000,"Pennsylvania","40.4416941","-79.9900861","pnc financial services"
"Information Systems","Female","3.00 - 3.49","2020","edinburgh","the university of edinburgh","Information Technology","2","accepted fulltime job","Yes","Yes",28000,NA,"55.9533456","-3.1883749","the home depot"
"Finance","Male","2.50 - 2.99","2021","cincinnati","fifth third bank","Finance","1","accepted fulltime job","Yes","No",42000,"Ohio","39.1014537","-84.5124602","fifth third bank"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2020","oakbrookterrace","nd paper","Logistics / Supply Chain","2","accepted fulltime job","Yes","Yes",52500,"Illinois",NA,NA,"nd paper"
"Information Systems","Male","3.00 - 3.49","2019","cincinnati","protiviti","IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",54000,"Ohio","39.1014537","-84.5124602","protiviti"
"Management and Leadership","Female","3.00 - 3.49","2020","cincinnati","advantage solutions: sales, marketing, technology",NA,"0","accepted fulltime job",NA,NA,NA,"Ohio","39.1014537","-84.5124602","advantage solutions: sales, marketing, technology"
"Accountancy","Female","3.00 - 3.49","2019",NA,"rémy cointreau
",NA,NA,"accepted fulltime job",NA,NA,NA,NA,NA,NA,"rémy cointreau
"
"Marketing","Male","3.00 - 3.49","2019","chicago","marcus and millichap","Finance
 Marketing / Sales","1","accepted fulltime job","Yes","Yes",NA,"Illinois","41.8755616","-87.6244212","marcus and millichap"
"Finance","Male","3.50 - 4.00","2019","milwaukee","baird","Finance","3","accepted fulltime job",NA,NA,85000,"Wisconsin","43.0349931","-87.922497","air force civilian service"
"Supply Chain & Operations Mgmt","Female","3.00 - 3.49","2020","woburn","tjx companies","General Management Logistics / Supply Chain Operations / Procurement","2","accepted fulltime job","Yes","Yes",56000,"Massachusetts","42.4792618","-71.1522766","tjx companies"
"Supply Chain & Operations Mgmt","Male","3.50 - 4.00","2021","minneapolis","cargill","Logistics / Supply Chain Operations / Procurement","1","accepted fulltime job","Yes","No",58000,"Minnesota","44.9772995","-93.2654692","cgi"
"Finance","Male","3.00 - 3.49","2020","cleveland","ameriprise financial services",NA,NA,"accepted fulltime job",NA,NA,50000,"Ohio","41.4996562","-81.6936813","ameriprise financial - redstone wealth advisors"
"Business Economics","Female","3.00 - 3.49","2019","chicago","pavilion, a mercer practice",NA,"1","accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","pavilion, a mercer practice"
"Finance","Male","2.00 - 2.49","2021","columbus","bluestone wealth management",NA,NA,"accepted fulltime job",NA,NA,50000,"Ohio","39.9622601","-83.0007065","cobblestone community church"
"Finance","Male","3.00 - 3.49","2021","chicago","gohealth","Analytics Finance Operations / Procurement Other: Strategic Partnerships","1","accepted fulltime job","Yes","Yes",60000,"Illinois","41.8755616","-87.6244212","gohealth"
"Finance","Male","3.00 - 3.49","2019",NA,"still seeking employment",NA,"1","seeking employment",NA,NA,NA,NA,NA,NA,"stifel financial corp"
"Marketing","Male","3.50 - 4.00","2021","cincinnati","pepsico","Marketing / Sales","1","accepted fulltime job","Yes","Yes",65000,"Ohio","39.1014537","-84.5124602","pepsico"
"Information Systems","Female","3.50 - 4.00","2020","sandiego","deloitte","Consulting IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",72000,"California","-29.5992823","-51.9260001","deloitte"
"Accountancy","Male","3.00 - 3.49","2020","cleveland","rsm","Accounting Analytics Consulting Finance","2","accepted fulltime job","Yes","Yes",56000,"Ohio","41.4996562","-81.6936813","rsm"
"Marketing","Male","3.00 - 3.49","2021","columbus","abercrombie & fitch",NA,NA,"accepted fulltime job",NA,NA,NA,"Ohio","39.9622601","-83.0007065","abercrombie & fitch"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2021","dayton","amazon","Logistics / Supply Chain Operations / Procurement","3","accepted fulltime job","Yes","Yes",52000,"Ohio","39.7589478","-84.1916069","amazon"
"Marketing","Female","3.00 - 3.49","2019","chicago","cramer-krasselt",NA,NA,"accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","cramer-krasselt"
"Marketing","Male","3.50 - 4.00","2019","boston","tribalvision",NA,"1","accepted fulltime job",NA,NA,NA,"Massachusetts","42.3602534","-71.0582912","tribalvision"
"Finance","Male","3.50 - 4.00","2020","chicago","capgemini invent","Analytics Finance","3","accepted fulltime job","Yes","Yes",75000,"Illinois","41.8755616","-87.6244212","capgemini invent"
"Accountancy","Male","3.50 - 4.00","2021","chicago","ey",NA,"1","accepted fulltime job","Yes","Yes",65000,NA,"41.8755616","-87.6244212","ey"
"Marketing","Female","3.50 - 4.00","2020","columbus","abercrombie & fitch","Analytics Marketing / Sales","1","accepted fulltime job","Yes","Yes",60000,"Ohio","39.9622601","-83.0007065","abercrombie & fitch"
"Marketing","Female","3.00 - 3.49","2021","pittsburgh","cintas",NA,NA,"accepted fulltime job",NA,NA,NA,"Pennsylvania","40.4416941","-79.9900861","cintas"
"Accountancy","Male","3.50 - 4.00","2021","chicago","stephens inc.","Finance","1","accepted fulltime job","Yes","Yes",NA,"Illinois","41.8755616","-87.6244212","stephens inc."
"Information Systems","Female","3.50 - 4.00","2020","columbus","ey","IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",56000,"Ohio","39.9622601","-83.0007065","ey"
"Marketing","Male","3.00 - 3.49","2019","chicago","cdm media",NA,NA,"accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","cdm media"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2019","eastlansing","suburban sports group",NA,NA,"accepted fulltime job",NA,NA,NA,"Michigan",NA,NA,"suburban sports group"
"Marketing","Female","3.50 - 4.00","2019","louisville","insight global","Human Resources
 Marketing / Sales","1","accepted fulltime job","No","Yes",31000,NA,"38.2542376","-85.759407","insight2profit"
"Accountancy","Male","3.50 - 4.00","2021","madison","epic systems","Accounting IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",55000,"Wisconsin","43.074761","-89.3837613","epic"
"Marketing","Female","3.50 - 4.00","2021","milwaukee","kohl's","Analytics Marketing / Sales","1","accepted fulltime job","Yes","No",53000,"Wisconsin","43.0349931","-87.922497","kohl's"
"Marketing","Female","3.00 - 3.49","2019","newyorkcity","american eagle","Marketing/Sales","1","accepted fulltime job","Yes","Yes",55000,"New York","34.6732303","-1.9146444","american eagle outfitters"
"Finance","Male","3.50 - 4.00","2020","chicago","goldman sachs",NA,NA,"accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","goldman sachs"
"Supply Chain & Operations Mgmt","Male","3.50 - 4.00","2021","chicago","brightedge","Marketing / Sales","2","accepted fulltime job","Yes","Yes",55250,"Illinois","41.8755616","-87.6244212","brightedge"
"Management and Leadership","Female","3.50 - 4.00","2019","boston","wayfair",NA,"0","accepted fulltime job",NA,NA,NA,"Massachusetts","42.3602534","-71.0582912","wayfair"
"Finance","Male","3.00 - 3.49","2020","wichita","textron","Finance","1","accepted fulltime job","Yes","Yes",65000,"Kansas","37.6922361","-97.3375448","textron specialized vehicles"
"Information Systems","Female","3.00 - 3.49","2021","remote","johnson & johnson",NA,"2","accepted fulltime job","Yes",NA,NA,NA,"43.0059455","-123.8925908","john deere"
"Supply Chain & Operations Mgmt","Male","2.50 - 2.99","2020","knoxville","pilot flying j","Logistics / Supply Chain","2","accepted fulltime job","Yes","Yes",58000,"Tennessee","35.9603948","-83.9210261","pilot 44"
"Accountancy","Male","3.50 - 4.00","2021","chicago","ey","Accounting","3","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","ey"
"Marketing","Male","3.00 - 3.49","2020","chicago","svn","Marketing / Sales","1","accepted fulltime job","Yes","Yes",NA,"Illinois","41.8755616","-87.6244212","seventh generation"
"Accountancy","Female","3.50 - 4.00","2019","redwoodshores","ernst & young","Accounting","1","accepted fulltime job","Yes","Yes",63000,NA,NA,NA,"ernst & young"
"Marketing","Female","3.00 - 3.49","2021","columbus","gohealth",NA,"1","accepted fulltime job","Yes","Yes",70000,"Ohio","39.9622601","-83.0007065","gohealth"
"Marketing","Male","3.00 - 3.49","2021","chagrinfalls","the technology house",NA,NA,"accepted fulltime job",NA,NA,NA,"Ohio",NA,NA,"the home depot"
"Marketing","Male","3.50 - 4.00","2021","madison","epic",NA,"1","accepted fulltime job","No","Yes",63000,"Wisconsin","43.074761","-89.3837613","epic"
"Finance","Male","3.50 - 4.00","2019","milwaukee","robert w. baird","Finance","2","accepted fulltime job","Yes","No",60000,NA,"43.0349931","-87.922497","robert w baird & co."
"Accountancy","Female","3.50 - 4.00","2020","chicago","deloitte","Accounting","2","accepted fulltime job","Yes","Yes",60000,"Illinois","41.8755616","-87.6244212","deloitte"
"Finance","Female","3.00 - 3.49","2019","columbus","cardinal health","Finance","2","accepted fulltime job","Yes","Yes",58000,"Ohio","39.9622601","-83.0007065","cardinal health"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2021","canton","medline industries","General Management Logistics / Supply Chain Operations / Procurement","4","accepted fulltime job","Yes","No",60000,"Ohio","32.555664","-95.8640507","medline industries inc."
"Accountancy","Male","3.00 - 3.49","2021","denver","fastly","Advertising / Public Relations Consulting Marketing / Sales","3","accepted fulltime job","Yes","Yes",45000,"Colorado","39.7392364","-104.9848623","fast market options"
"Finance","Female","3.50 - 4.00","2019","cincinnati","worldpay","Accounting
 Finance","1","accepted fulltime job","Yes","Yes",55000,"Ohio","39.1014537","-84.5124602","worldpay"
"Accountancy","Male","3.50 - 4.00","2021","cincinnati","grant thornton","Accounting","1","accepted fulltime job","Yes","Yes",55000,"Ohio","39.1014537","-84.5124602","grant thornton"
"Finance","Male","2.50 - 2.99","2020","chicago","brookfield properties",NA,NA,"accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","brookfield properties"
"Marketing","Female","3.00 - 3.49","2020","philadelphia","accenture","Analytics Consulting Information Technology","3","accepted fulltime job","Yes","No",71500,"Pennsylvania","39.9527237","-75.1635262","accenture"
"Human Capital Mgmt& Leadership","Female","3.50 - 4.00","2021","akron","pepsico","General Management Marketing / Sales","1","accepted fulltime job","Yes","Yes",65000,"Ohio","41.083064","-81.518485","pepsico"
"Finance","Male","3.00 - 3.49","2019","chicago","aon","Finance","2","accepted fulltime job","Yes","Yes",62500,"Illinois","41.8755616","-87.6244212","aon"
"Finance","Male","3.50 - 4.00","2021","mclean","capital one","Finance","2","accepted fulltime job","Yes","Yes",77000,"Virginia","40.4631789","-88.8196613","capital one"
"Marketing","Male","3.00 - 3.49","2019","chicago","the hershey company","Marketing / Sales","2","accepted fulltime job","Yes","Yes",42000,"Illinois","41.8755616","-87.6244212","the home depot"
"Marketing","Female","3.50 - 4.00","2021","columbus","face forward asthetics",NA,"2","accepted fulltime job","Yes","Yes",46000,"Ohio","39.9622601","-83.0007065","ace hardware"
"Human Capital Mgmt& Leadership","Male","3.00 - 3.49","2020","chicago","oracle netsuite","Information Technology Marketing / Sales","3","accepted fulltime job","Yes","Yes",55000,"Illinois","41.8755616","-87.6244212","oracle netsuite"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2021","louisville","dhl supply chain",NA,"1","accepted fulltime job","Yes","No",55000,NA,"38.2542376","-85.759407","dhl"
"Marketing","Female","3.00 - 3.49","2021","westlake","hyland software",NA,"2","accepted fulltime job","Yes","Yes",44000,"Ohio","32.991226","-97.1943701","hyland software"
"Accountancy","Male","3.50 - 4.00","2021","chicago","ey","Accounting","1","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","ey"
"Finance","Male","3.00 - 3.49","2021","columbus","amazon web services","Analytics Finance General Management","1","accepted fulltime job","Yes","Yes",50960,"Ohio","39.9622601","-83.0007065","amazon"
"Business Economics","Female","3.50 - 4.00","2021","columbus","lower",NA,NA,"accepted fulltime job","Yes","Yes",40000,"Ohio","39.9622601","-83.0007065","lower"
"Business Analytics","Male","3.50 - 4.00","2021","stlouis","summersalt","Green Man Twist","6","accepted fulltime job","Yes","Yes",60000,"Missouri","35.9056067","14.425344","summersalt"
"Finance","Male","3.50 - 4.00","2021","chicago","bearingpoint","Consulting","4","accepted fulltime job","Yes","Yes",70000,"Illinois","41.8755616","-87.6244212","bearingpoint"
"Marketing","Female","3.50 - 4.00","2020","fortmyers","gartner","Marketing / Sales","1","accepted fulltime job","Yes","No",65000,"Florida",NA,NA,"partners capital"
"Accountancy","Male","3.00 - 3.49","2020",NA,"sherwin-williams","Accounting","2","accepted fulltime job","Yes","Yes",52250,NA,NA,NA,"sherwin-williams"
"Finance","Male","3.50 - 4.00","2020","cincinnati","ge aviation","Accounting Finance","1","accepted fulltime job","Yes","Yes",67000,"Ohio","39.1014537","-84.5124602","ge aviation"
"Marketing","Male","3.00 - 3.49","2019","chicago","arrive logistics","Marketing / Sales","3","accepted fulltime job","Yes","Yes",45000,"Illinois","41.8755616","-87.6244212","arrive logistics"
"Marketing","Female","3.50 - 4.00","2021","chicago","vmly&r commerce",NA,"2","accepted fulltime job","Yes","Yes",52000,NA,"41.8755616","-87.6244212","vmly&r"
"Management and Leadership","Female","3.50 - 4.00","2019","columbus","zandaland",NA,"0","accepted fulltime job",NA,NA,NA,"Ohio","39.9622601","-83.0007065","zandaland"
"Finance","Male","3.50 - 4.00","2021","providence","textron","Accounting Finance","5","accepted fulltime job","Yes","Yes",65000,"Rhode Island","41.8239891","-71.4128343","textron specialized vehicles"
"Supply Chain & Operations Mgmt","Male","2.50 - 2.99","2021","chicago","mcadam financial","Finance","3","accepted fulltime job","No","Yes",60000,"Illinois","41.8755616","-87.6244212","mcadams financial"
"Marketing","Female","3.50 - 4.00","2020","chicago","synchrony financial","Analytics","1","accepted fulltime job","Yes","Yes",72000,"Illinois","41.8755616","-87.6244212","synchrony financial"
"Marketing","Female","2.50 - 2.99","2019","chicago","groupon",NA,NA,"accepted fulltime job",NA,NA,35000,"Illinois","41.8755616","-87.6244212","group management solutions"
"Finance","Male","3.00 - 3.49","2019","washington","nestle",NA,"1","accepted fulltime job","Yes",NA,59000,NA,"38.8950368","-77.0365427","nestle"
"Finance","Male","3.00 - 3.49","2020","irvine","n/a","Entrepreneur/founder","0","accepted fulltime job","Yes","Yes",NA,"California","33.6856969","-117.8259819","n/a"
"Finance","Male","3.00 - 3.49","2019","boston","bank of america","Finance","2","accepted fulltime job","Yes","No",65000,"Massachusetts","42.3602534","-71.0582912","bank iowa corporation"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2021","newyorkcity","horizon media",NA,"4","accepted fulltime job","Yes","Yes",NA,NA,"34.6732303","-1.9146444","verizon"
